"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 19:22:59 BRT 2024","Fri Aug 02 19:23:08 BRT 2024","8722","chromium","alerts.spec.ts","Handle alerts Tests","","","Open Alerts with sucess",""
"passed","Fri Aug 02 19:22:59 BRT 2024","Fri Aug 02 19:23:09 BRT 2024","9744","chromium","alerts.spec.ts","Handle alerts Tests","","","Open confirmed Alert success",""
"passed","Fri Aug 02 19:23:15 BRT 2024","Fri Aug 02 19:23:25 BRT 2024","9924","chromium","register.spec.ts","Testes na Pagina de Registros","","","check if the fields are cleaned after click on reflesh",""
"passed","Thu Aug 01 17:21:14 BRT 2024","Thu Aug 01 17:21:29 BRT 2024","15300","chromium","register.spec.ts","Testes na Pagina de Registros","","","check if field are cleand after click on reflesh",""
"passed","Fri Aug 02 19:23:09 BRT 2024","Fri Aug 02 19:23:14 BRT 2024","4809","chromium","home.spec.ts","Teste on Home page","","","Login com sucesso",""
"passed","Fri Aug 02 19:23:14 BRT 2024","Fri Aug 02 19:23:28 BRT 2024","13839","chromium","register.spec.ts","Testes na Pagina de Registros","","","Realizo o  preenchimento do formulario com sucesso",""
"passed","Fri Aug 02 19:23:09 BRT 2024","Fri Aug 02 19:23:15 BRT 2024","6250","chromium","alerts.spec.ts","Handle alerts Tests","","","Open prompt success",""
"failed","Fri Aug 02 17:35:33 BRT 2024","Fri Aug 02 17:35:40 BRT 2024","7371","chromium","alerts.spec.ts","Handle alerts Test","","","Open Alerts with sucess",""
